symbol,name,company_id
A1CAP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,4028e4a1416e696301416f37201c5f2e
A1YEN,A1 YENİLENEBİLİR ENERJİ ÜRETİM A.Ş.,8acae2c5794d3d66017a62a693be689d
ACP,A1 CAPİTAL YATIRIM MENKUL DEĞERLER A.Ş.,4028e4a1416e696301416f37201c5f2e
ACSEL,ACISELSAN ACIPAYAM SELÜLOZ SANAYİ VE TİCARET A.Ş.,4028e4a2420327a4014209c55161144d
ADEL,ADEL KALEMCİLİK TİCARET VE SANAYİ A.Ş.,4028e4a240e8d16e0140e8f159dc0033
ADESE,ADESE GAYRİMENKUL YATIRIM A.Ş.,4028e4a140f2ed720141164431b905a5
ADGYO,ADRA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c586d22c53018a737800f804ae
ADLVY,ADİL VARLIK YÖNETİM A.Ş.,8acae2c4998f24d80199e1a75ec6473e
AEFES,ANADOLU EFES BİRACILIK VE MALT SANAYİİ A.Ş.,4028e4a140e95bea0140ed2fde10009d
AFB,AKTİF YATIRIM BANKASI A.Ş.,1DE05DAA8212073AE0530A4A622A2EBD
AFYON,AFYON ÇİMENTO SANAYİ T.A.Ş.,4028e4a24158e42401415af83d607fd3
AGESA,AGESA HAYAT VE EMEKLİLİK A.Ş.,4028e4a140e95bea0140edeb7a54015d
AGHOL,AG ANADOLU GRUBU HOLDİNG A.Ş.,4028e4a240f2ef4c014101b18dc000f7
AGROT,AGROTECH YÜKSEK TEKNOLOJİ VE YATIRIM A.Ş.,8acae2c48b2fa259018bb9e449415e84
AGYO,ATAKULE GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a240f2ef4c0141164a06d8043a
AHGAZ,AHLATCI DOĞAL GAZ DAĞITIM ENERJİ VE YATIRIM A.Ş.,4028e4a14203278a0142095715f914d0
AHSGY,AHES GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,8acae2c59145e00a01915a44a01d1179
AKBNK,AKBANK T.A.Ş.,4028e4a240e8d1830140e905edcd0006
AKCKM,AKÇA KİMYEVİ MADDELER NAKLİYAT TİCARET VE SANAYİ A.Ş.,8acae2c562329bd10163017c6c706bdd
AKCNS,AKÇANSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,4028e4a140e8cfa00140e92b0c380016
AKCVR,AKADEMİ ÇEVRE ENTEGRE ATIK YÖNETİMİ ENDÜSTRİ A.Ş.,8acae2c4991b8c31019928545a1100fe
AKDFA,AKDENİZ FAKTORİNG A.Ş.,4028e4a1415f4d990141601150cc3212
AKENR,AKENERJİ ELEKTRİK ÜRETİM A.Ş.,4028e4a14184e9cf01419bffce0b5a69
AKFGY,AKFEN GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a141733b56014183c1c6ed426e
AKFIS,AKFEN İNŞAAT TURİZM VE TİCARET A.Ş.,8acae2c59145e00a0192aedf5db86688
AKFK,AK FİNANSAL KİRALAMA A.Ş.,4028e4a240e8d16e0140e8f31069003f
AKFYE,AKFEN YENİLENEBİLİR ENERJİ A.Ş.,8acae2c48304fe9e0186a66e7a9568ea
AKGRT,AKSİGORTA A.Ş.,4028e4a140e95be70140ed12e1f4002c
AKHAN,AKHAN UN FABRİKASI VE TARIM ÜRÜNLERİ GIDA SANAYİ TİCARET A.Ş.,8acae2c49b85f8ce019beef9720d5cc5
AKM,AK YATIRIM MENKUL DEĞERLER A.Ş.,4028e4a240e8d16e0140e8f3d0fe0047
AKMEN,AK YATIRIM MENKUL DEĞERLER A.Ş.,4028e4a240e8d16e0140e8f3d0fe0047
AKMGY,AKMERKEZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a240e95dc30140ecc218b30032
AKSA,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.,4028e4a240f2ef470141175e189f0453
AKSEN,AKSA ENERJİ ÜRETİM A.Ş.,4028e4a241733d42014179341a147ddb
AKSFA,AK FAKTORİNG A.Ş.,4028e4a240e8d16e0140e8f24bd3003b
AKSGY,AKİŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a14158e41f01415a865c0e4d13
AKSUE,AKSU ENERJİ VE TİCARET A.Ş.,4028e4a140f2ed7201413a20480e0851
AKTIF,AKTİF YATIRIM BANKASI A.Ş.,1DE05DAA8212073AE0530A4A622A2EBD
AKTVK,AKTİF BANK SUKUK VARLIK KİRALAMA A.Ş.,4028e4a14371e097014371f9653d00c2
AKYHO,AKDENİZ YATIRIM HOLDİNG A.Ş.,4028e4a1415f4d9901416dc64bd161cb
ALARK,ALARKO HOLDİNG A.Ş.,4028e4a241462fd80141500c738e36be
ALBRK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,4028e4a240f2ef4c014106a1c5ef016d
ALCAR,ALARKO CARRIER SANAYİ VE TİCARET A.Ş.,4028e4a241558bd9014155e085e305fd
ALCTL,ALCATEL LUCENT TELETAŞ TELEKOMÜNİKASYON A.Ş.,4028e4a140f2ed71014110e38acb01b5
ALFAS,ALFA SOLAR ENERJİ SANAYİ VE TİCARET A.Ş.,8acae2c5830502c30183559e2336223e
ALGYO,ALARKO GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,4028e4a241462fd801415005df1c3612
ALJF,ALJ FİNANSMAN A.Ş.,4028e4a2422d9a6e01427b2bed8d5347
ALK,ALBARAKA TÜRK KATILIM BANKASI A.Ş.,4028e4a240f2ef4c014106a1c5ef016d
ALKA,ALKİM KAĞIT SANAYİ VE TİCARET A.Ş.,4028e4a2416e697d01416f39965a5eb5
ALKIM,ALKİM ALKALİ KİMYA A.Ş.,4028e4a140e95be70140ed147846003c
ALKLC,ALTINKILIÇ GIDA VE SÜT SANAYİ TİCARET A.Ş.,8acae2c48c3efac0018fabe7ce965048
ALNUS,ALNUS YATIRIM MENKUL DEĞERLER A.Ş.,4028e4a141da49e50141e085b2112b8a
ALTNY,ALTINAY SAVUNMA TEKNOLOJİLERİ A.Ş.,8acae2c58b2fa64e018f3d2d712476e2
